Rainfall,Evaporation,Humidity,Pressure,Cloud,Temp,RainToday,RISK_MM,RainTomorrow
0,3.4,68,1019.7,7,14.4,No,3.6,Yes
3.6,4.4,80,1012.4,5,17.5,Yes,3.6,Yes
3.6,5.8,82,1009.5,8,15.4,Yes,39.8,Yes
39.8,7.2,62,1005.5,2,13.5,Yes,2.8,Yes
2.8,5.6,68,1018.3,7,11.1,Yes,0,No
0,5.8,70,1023.8,7,10.9,No,0.2,No
0.2,4.2,63,1024.6,4,12.4,No,0,No
0,5.6,65,1026.2,6,12.1,No,0,No
0,4,70,1026.1,7,14.1,No,16.2,Yes
16.2,5.4,82,1024.1,7,13.3,Yes,0,No
0,4.2,74,1024.4,1,14.6,No,0.2,No
0.2,7.2,54,1023.8,0,16.8,No,0,No
0,7.2,62,1022,0,17,No,0,No
0,6.2,67,1017.3,1,19.7,No,0,No
0,8.8,45,1018.2,0,18.7,No,0,No
0,8.4,70,1017.9,0,19.1,No,0,No
0,7.2,72,1014.4,7,20.2,No,1.2,Yes
1.2,7.2,59,1016.4,1,20.1,Yes,0.6,No
0.6,7.4,60,1017.1,1,20.2,No,0,No
0,8,61,1018.5,0,22.8,No,0,No
0,8.8,60,1012.4,1,22.2,No,0.4,No
0.4,9.2,88,1010.7,8,16.5,No,25.8,Yes
25.8,2.8,91,1014,8,14,Yes,0.4,No
0.4,1.2,74,1020.7,7,17.8,No,0,No
0,4.4,85,1022.4,8,16.8,No,0,No
0,6.8,65,1019.7,2,19.8,No,0.2,No
0.2,6.6,70,1021,7,16.5,No,0,No
0,4.4,61,1019.2,5,18.8,No,0,No
0,7,69,1019,7,18.9,No,0.4,No
0.4,2.6,83,1017.2,8,17.3,No,22.6,Yes
22.6,2.4,82,1015,8,17,Yes,4.2,Yes
4.2,1.6,66,1013.9,2,16.7,Yes,0.2,No
0.2,6.6,72,1007.9,7,20.5,No,6.6,Yes
6.6,3.8,74,1007.3,5,18.8,Yes,0,No
0,8.4,69,1015,7,18.6,No,0,No
0,6,78,1018.8,8,18.6,No,0,No
0,4.2,70,1014.5,6,21.5,No,4,Yes
4,4.2,76,1014.8,8,18,Yes,0,No
0,6.6,78,1010.8,7,20.6,No,0,No
0,10.4,58,1011.7,7,19.3,No,0.6,No
0.6,4.8,60,1018,8,13.8,No,0,No
0,4.2,66,1021.1,7,15.7,No,0,No
0,5,70,1021.9,7,15.8,No,0,No
0,4.4,63,1018.1,1,15.8,No,0,No
0,6.8,63,1012.6,1,17.4,No,5.4,Yes
5.4,6.4,93,1010.1,8,16.6,Yes,1.4,Yes
1.4,2.8,59,1017.6,1,15.3,Yes,0,No
0,6.6,61,1020.6,6,15.3,No,0,No
0,6.4,72,1018,8,16.1,No,3.4,Yes
3.4,1.6,97,1015.8,8,15.3,Yes,6.4,Yes
6.4,1.8,81,1012.9,2,21,Yes,11,Yes
11,4.4,92,996.5,8,20.6,Yes,17.4,Yes
17.4,7.8,59,1009.5,1,14.9,Yes,0,No
0,6.2,69,1012.8,6,15,No,3.4,Yes
3.4,8.2,67,1020.4,8,12.4,Yes,0,No
0,5.2,63,1023.2,1,15.3,No,0,No
0,7.2,68,1017.3,7,19.8,No,14.4,Yes
14.4,8.8,73,1016.8,1,18.3,Yes,0,No
0,6.6,65,1017.1,0,21.5,No,0,No
0,9.6,55,1017.4,1,23.4,No,0,No
0,11.4,44,1019.2,0,21.9,No,0,No
0,8.8,50,1015.8,7,21.9,No,0,No
0,7.6,43,1012.6,0,23,No,0,No
0,12.6,69,1016.8,8,19.2,No,0,No
0,6.2,56,1016.2,6,20.3,No,0,No
0,7.4,69,1011.8,7,18.6,No,0,No
0,6.6,77,1006.6,1,18.9,No,0,No
0,9,60,1012.3,1,20.8,No,0,No
0,10,77,1015.7,7,18.1,No,0,No
0,6.6,74,1018.5,8,19.3,No,0,No
0,6.6,64,1017.8,1,21.3,No,0,No
0,9.4,56,1011.8,0,24.7,No,0,No
0,13.8,61,1007.6,7,23.6,No,2,Yes
2,9,65,1004,2,23,Yes,0,No
0,12.4,70,1012.3,8,17,No,0,No
0,5.2,70,1014.2,7,18,No,0,No
0,10.4,58,1008.5,6,24.5,No,4.8,Yes
4.8,6.4,62,1016.8,1,17.1,Yes,0,No
0,9.6,63,1017.5,8,17.8,No,18.8,Yes
18.8,5,92,1008.7,8,18,Yes,12.2,Yes
12.2,1.4,80,1004.9,7,19.4,Yes,0.8,No
0.8,5.6,73,1011.4,8,17.4,No,0,No
